aoa,cl,cd
22.4489,1.13762,0.01079837
20.3756,1.44626,0.01642197
18.5456,1.54416,0.0
17.5827,1.60293,0.0
16.4235,1.61591,0.0
15.3587,1.59293,0.0
14.4224,1.56506,0.0
13.3567,1.52901,0.01965879
12.3544,1.47497,0.0170713
10.2509,1.33257,0.01385066
8.1443,1.13298,0.0107537
6.32815,0.936708,0.0089551
5.35534,0.832039,0.00834431
4.35018,0.724106,0.00738781
3.12004,0.625958,0.00508661
2.27625,0.51969,0.00427256
1.17443,0.408502,0.00414142
0.234006,0.300606,0.00406341
-0.868269,0.178002,0.00438523
-1.67904,0.081568,0.00543608
-2.71671,-0.041009,0.00600544
-3.97901,-0.147281,0.00646122
-6.05457,-0.405445,0.0074378
-8.19049,-0.588511,0.00833801
-10.1031,-0.822103,0.0
