aoa,cl,cd
11.2242,0.92301,0.00986597
11.0652,1.09963,0.0
10.4865,1.05715,0.01161092
9.29677,0.960738,0.01014859
8.36418,0.890463,0.00963903
7.27043,0.782567,0.00880416
6.49791,0.663193,0.00788392
4.34173,0.430965,0.00674596
3.27954,0.32137,0.00621404
1.12259,0.110313,0.00431494
0.188743,0.012128,0.00419078
-0.745399,-0.110615,0.0046245
-2.03377,-0.239931,0.00547038
-2.93576,-0.329975,0.00585439
-3.99912,-0.459317,0.00648619
-8.06019,-0.896633,0.00954047
-8.86631,-0.998201,0.0111968
-9.93015,-1.07034,0.0
-10.9928,-0.908368,0.00973184
-12.1533,-0.89374,0.00949329
