aoa,cl
15.2345,0.875517
14.1493,0.954274
12.9669,0.993699
11.8794,0.995414
11.2723,1.02333
9.12942,1.05135
7.91143,0.982568
6.98012,0.87275
6.04899,0.774394
3.80154,0.562884
3.15774,0.451337
2.16101,0.323375
1.48738,0.292214
1.03804,0.264325
0.458212,0.160936
-0.44101,0.093652
-0.955651,0.0312786
-2.04893,-0.0852765
-3.14236,-0.200212
-4.29993,-0.308601
-5.13685,-0.410438
-6.03862,-0.530362
-7.13247,-0.633882
-8.32145,-0.69799
-9.15655,-0.72759
-10.1822,-0.694755
-11.2404,-0.675064
-12.2344,-0.650438
-13.229,-0.638959
