cl,cm
0.791118,-0.00866303
0.649525,-0.01198178
0.425833,-0.01246643
0.210129,-0.0125395
-0.007235,-0.01056783
-0.235957,-0.01391795
-0.450212,-0.01030813
-0.66294,-0.012426
