aoa,cl,cd
20.4891,0.86883,0.00949095
18.5169,0.796428,0.00894813
16.4802,0.753563,0.00866933
15.4611,0.870121,0.00950063
15.0138,1.27267,0.01578091
14.44,1.39099,0.01877812
13.3889,1.3696,0.01844359
12.4334,1.30218,0.01655329
10.4903,1.15087,0.01286924
8.25978,0.979773,0.01032273
6.34783,0.765894,0.00873802
3.95694,0.543698,0.00750014
3.16014,0.430153,0.00607661
2.29913,0.354412,0.00374804
1.59727,0.318149,0.00334018
1.08714,0.250661,0.00333488
1.05523,0.249012,0.00333446
-0.061127,0.140324,0.00345259
-0.379928,0.089299,0.00400288
-0.858279,0.026736,0.00467761
-1.40065,-0.022684,0.00521059
-2.03885,-0.073767,0.00567039
-4.11275,-0.299438,0.00703631
-6.18729,-0.513651,0.00809851
-8.23054,-0.714753,0.01001004
-10.4024,-0.904422,0.0
-11.0729,-0.98519,0.0
-12.357,-0.646564,0.00932356
-14.1829,-0.518578,0.00814392
