aoa,cl,cd
20.4833,-0.128777,0.0
19.4584,-0.104204,0.0
18.6578,-0.088647,0.0
17.7925,-0.064469,0.0
16.8325,-0.057132,0.0
15.9367,-0.052665,0.0
14.7205,-0.043699,0.0
13.6009,-0.043352,0.0
12.737,-0.041758,0.0
11.8091,-0.04099,0.0
10.7852,-0.041459,0.0
9.76146,-0.043572,0.0
7.74517,-0.042866,0.0
5.72835,-0.040516,0.0
3.93544,-0.039796,0.0
1.62964,-0.037051,0.0
-0.164545,-0.030987,0.0
-2.05482,-0.027805,0.0
-4.07361,-0.02463,0.0
-6.34915,-0.021469,0.0
-8.11248,-0.017045,0.0
-10.2604,-0.01552,0.0
-12.1211,-0.007809,0.0
-13.3402,-0.003352,0.0
-14.2717,0.007703,0.0
-15.1403,0.02658,0.0
-15.8163,0.044236,0.0
