aoa,cl
22.3087,1.36756
21.3511,1.45273
20.2977,1.47077
19.4675,1.4626
18.2541,1.40693
17.232,1.36107
16.2737,1.31685
15.2513,1.24803
14.1648,1.18248
13.142,1.11364
12.183,1.06118
11.2239,0.985768
10.2005,0.933287
8.95318,0.846361
8.02547,0.782384
7.25762,0.723323
6.00952,0.665868
4.92118,0.623169
4.02473,0.587034
3.16036,0.503331
2.00768,0.388427
0.91893,0.258744
-0.041853,0.137255
-1.00282,0.023951
-2.06001,-0.10743
-3.0855,-0.20109
-4.1433,-0.283285
-6.32358,-0.455935
-8.24792,-0.626961
-10.4298,-0.789884
-11.4247,-0.867245
-12.2593,-0.936375
-13.4151,-1.01544
-14.4107,-1.06985
-15.4385,-1.13413
-16.3381,-1.17375
-17.4627,-1.25122
-18.3633,-1.20215
-19.4248,-1.15476
