aoa,cd
23.6918,-0.132831
22.9252,-0.1230345
22.4266,-0.07610525
21.017,-0.0707885
19.7994,-0.06628875
18.9674,-0.059343
18.1023,-0.05525325
16.9458,-0.05932425
15.8223,-0.05972225
15.0532,-0.05563275
12.9988,-0.0547965
11.7807,-0.0478435
10.0465,-0.04741775
7.92704,-0.044946
5.96655,-0.0461515
3.68628,-0.04040925
1.91983,-0.03467075
-0.136581,-0.0293365
-1.83992,-0.0248221
-4.1547,-0.01948223
-5.92351,-0.01578253
-8.07851,-0.01044198
-10.0089,-0.0059206
-12.1319,0.00228472
-13.9976,0.0108977
-15.0294,0.00845768
-16.1224,0.01665308
-17.0877,0.02157528
-17.8874,0.0412225
-18.8167,0.05882825
