aoa,cl,cd
26.6224,0.933379,0.01878672
24.4591,0.844955,0.01536495
22.202,0.810757,0.01472425
20.3062,0.903025,0.0176121
18.4455,1.05117,0.02769917
16.1593,1.08271,0.0
14.29,1.08132,0.0
12.2267,1.0734,0.02978094
10.4206,1.05393,0.02795764
8.41718,0.967098,0.02009155
6.02364,0.822792,0.01491898
4.14356,0.637317,0.0122441
2.03627,0.425566,0.01122002
-0.135969,0.207238,0.01053435
-1.85649,-0.00458,0.01026505
-6.00654,-0.41501,0.01242055
-8.3075,-0.620217,0.01580443
-10.2515,-0.782736,0.0
-12.3213,-0.882793,0.0
-14.2254,-0.895754,0.0
-16.3094,-0.645682,0.01654362
-18.2688,-0.476149,0.01339494
-20.3036,-0.510455,0.01394169
