aoa,cl
18.2463,1.41989
16.3775,1.45924
15.346,1.46746
14.282,1.46913
13.3469,1.48554
12.4116,1.49704
11.2177,1.47087
10.2493,1.43486
9.08679,1.37753
8.44061,1.32183
6.24293,1.13008
5.17604,1.03663
4.23808,0.934959
3.26749,0.821792
2.23199,0.702039
1.06684,0.574051
0.063255,0.460806
-0.778816,0.34755
-2.52769,0.163632
-2.98143,0.0946659
-3.9212,-0.0235959
-6.09269,-0.255307
-8.1033,-0.495309
-10.1146,-0.718992
-11.1531,-0.845658
-12.0943,-0.936193
-13.1006,-1.03826
-14.269,-1.12231
-15.241,-1.02229
-16.1172,-1.03891
-16.9616,-1.10319
-18.1627,-1.12318
