cl,cd
1.26539,0.0250588
1.22073,0.0171479
1.09859,0.0132545
0.952319,0.00952557
0.855871,0.00733099
0.767473,0.00520274
0.540669,0.00473507
0.289808,0.00451398
0.053491,0.00462277
-0.059053,0.00578892
-0.057446,0.00578897
-0.17318,0.00692187
-0.417398,0.00818238
-0.639044,0.00945957
