aoa,cl,cd
24.5991,1.11709,0.01317773
22.4788,1.2203,0.01634734
20.5031,1.52453,0.0
19.2164,1.56953,0.0
18.4423,1.56962,0.0
16.4088,1.54823,0.0
14.34,1.48199,0.0
12.2705,1.39916,0.0
11.0743,1.35112,0.0
10.1677,1.29476,0.01981294
8.19289,1.16879,0.01412828
6.27875,0.978117,0.01062219
5.27403,0.888624,0.00850058
4.26906,0.792511,0.00487182
2.19288,0.562207,0.00448318
0.084013,0.308806,0.00445004
-0.985151,0.1979,0.00566506
-1.99363,0.02239,0.00651637
-4.19198,-0.14792,0.00733428
-6.07078,-0.369541,0.00820799
-8.23902,-0.605915,0.00954427
-10.1181,-0.865382,0.01138558
-12.1217,-1.06517,0.01375131
-14.1155,-1.08964,0.0
-14.9521,-0.474122,0.00879229
-16.1733,-0.465658,0.008745
-17.1379,-0.468819,0.00876266
-18.1393,-0.571261,0.00933501
