aoa,cl,cd
24.3391,-0.098733,0.0
22.42,-0.089321,0.0
20.4014,-0.027539,0.0
18.3219,-0.011946,0.0
16.3716,-0.014494,0.0
15.1888,-0.017014,0.0
14.4215,-0.01828,0.0
12.1834,-0.019602,0.0
10.3291,-0.020497,0.0
8.2196,-0.028824,0.0
6.3011,-0.02601,0.0
4.12751,-0.031041,0.0
2.24158,-0.034411,0.0
0.067132,-0.027896,0.0
-2.87416,-0.025533,0.0
-5.84761,-0.020285,0.0
-8.05349,-0.018306,0.0
-9.87551,-0.018788,0.0
-12.0171,-0.020106,0.0
-13.9346,-0.023889,0.0
-14.8937,-0.022276,0.0
-16.0465,-0.001291,0.0
-17.9377,0.05142,0.0
