aoa,cd
21.2993,-0.08361725
20.3331,-0.0836255
19.2392,-0.07915925
18.3375,-0.077539
17.1789,-0.072665
16.2446,-0.07145125
15.3094,-0.07267925
14.1491,-0.071467
13.376,-0.06862325
11.9902,-0.064969
11.218,-0.05764525
9.89534,-0.056839
8.08958,-0.05114825
5.99116,-0.050753
3.89241,-0.04872775
1.85816,-0.04425625
-0.079735,-0.039375
-1.88896,-0.03449175
-4.05373,-0.026346
-6.09122,-0.02309073
-7.96672,-0.0165706
-9.84285,-0.01004828
-11.0079,-0.0067867
-11.979,-0.0043402
-13.079,0.00137119
-14.244,0.00749183
-14.9879,0.01320563
-16.0231,0.02136953
-16.9623,0.02504425
-18.1289,0.0279035
-19.0353,0.03484575
-20.0408,0.035256
