aoa,cl
16.2367,0.778032
15.5153,0.963732
14.3999,1.43377
13.3746,1.42239
12.4422,1.37156
11.477,1.3125
10.3804,1.21237
9.2199,1.11552
8.37961,1.01864
7.41152,0.926684
6.21718,0.81009
5.2469,0.691823
4.34189,0.589981
3.37311,0.493068
2.17853,0.378078
1.11242,0.268003
0.206131,0.152979
-0.828328,0.0395968
-1.79775,-0.060645
-3.02625,-0.193766
-3.96302,-0.284162
-4.93465,-0.410733
-7.1968,-0.63595
-8.07058,-0.737885
-9.10544,-0.84805
-10.1394,-0.945069
-11.3334,-1.03552
-12.2427,-0.746125
-12.976,-0.6787
-14.2539,-0.594819
