aoa,cl
20.3067,1.20159
19.4078,1.33441
18.4756,1.38694
17.1571,1.41493
16.2245,1.43305
15.4527,1.45279
14.2622,1.42997
13.2643,1.37764
12.3952,1.33512
11.2677,1.22709
10.2372,1.15182
8.14311,0.93738
6.1453,0.714728
5.0178,0.60833
4.21204,0.508451
3.21289,0.385648
2.0208,0.266142
1.08606,0.149883
0.086747,0.0205178
-0.880393,-0.107215
-1.87934,-0.213638
-2.94306,-0.344642
-3.94224,-0.462542
-4.78026,-0.560793
-6.03705,-0.693419
-7.93863,-0.907933
-10.2262,-1.12404
-11.1611,-1.23704
-11.9987,-1.30907
-13.0296,-1.39583
-13.9629,-1.43178
-15.0247,-1.45787
-16.1502,-1.44952
-17.1135,-1.37726
-18.1422,-1.364
-19.2672,-1.33926
