aoa,cl,cd
24.299,-0.107412,0.0
22.3795,-0.102641,0.0
20.2966,-0.08892,0.0
18.3369,-0.060926,0.0
16.2523,-0.055731,0.0
14.1345,-0.053794,0.0
12.0127,-0.041253,0.0
10.1483,-0.038889,0.0
8.05812,-0.040614,0.0
6.1591,-0.041107,0.0
4.03198,-0.036709,0.0
2.12837,-0.030254,0.0
-0.001679,-0.02871,0.0
-1.87512,-0.027153,0.0
-4.00927,-0.022741,0.0
-5.98254,-0.022822,0.0
-8.11978,-0.020862,0.0
-10.0321,-0.018071,0.0
-12.2056,-0.014879,0.0
-14.0934,0.010875,0.0
-16.3114,0.055506,0.0
-18.1049,0.08213,0.0
-20.4161,0.087422,0.0
