aoa,cl,cd
20.2972,1.02828,0.01376933
19.2783,1.12359,0.01661858
18.2274,1.22222,0.02399451
17.3684,1.41609,0.0
16.348,1.41786,0.0
15.2315,1.418,0.0
14.0826,1.40172,0.0
13.2202,1.35582,0.0
12.102,1.29514,0.0
10.088,1.17041,0.01801825
8.13595,0.992955,0.01275383
6.02264,0.82197,0.0106577
5.15728,0.724904,0.00994718
3.97148,0.626166,0.0076644
2.97747,0.53562,0.00523913
1.9504,0.400574,0.00500202
1.08394,0.314902,0.00507128
-1.03598,0.057757,0.00488279
-2.03221,-0.059346,0.00488513
-2.99644,-0.160001,0.00602701
-4.1862,-0.288754,0.00757944
-5.0874,-0.414223,0.00829006
-5.98864,-0.524887,0.00905255
-8.04876,-0.724913,0.01042283
-10.1422,-0.91023,0.01361961
-12.2371,-1.08907,0.01833574
-14.2037,-1.22008,0.0
