aoa,cl,cd
18.3091,1.24142,0.0
17.2458,1.24798,0.0
16.408,1.26437,0.0
15.4086,1.25783,0.0
14.2479,1.26603,0.0
13.2481,1.26768,0.0
12.2804,1.2595,0.0
11.1509,1.23658,0.0
10.2472,1.21693,0.0
9.08478,1.16941,0.0
8.27742,1.13991,0.02361237
7.14663,1.07107,0.01943932
6.20945,1.01041,0.01630567
4.23729,0.856256,0.01359877
3.26675,0.748,0.01238348
2.16662,0.631515,0.01170004
1.06632,0.523203,0.01142109
0.06275,0.411593,0.01085904
-0.811501,0.314735,0.01059581
-2.91673,0.093032,0.01099679
-4.05084,-0.040023,0.01194142
-6.18998,-0.268453,0.01419353
-8.03826,-0.472311,0.01569983
-10.1788,-0.659879,0.0
