cl,cm
1.19964,-0.078986
1.15623,-0.07288525
1.08724,-0.08192875
0.868834,-0.08699275
0.647091,-0.077749
0.438233,-0.0774905
0.208453,-0.0764295
-0.014929,-0.0753635
-0.214231,-0.07428
