aoa,cd
23.5719,-0.1033555
22.1029,-0.09799225
20.2202,-0.05422175
19.4227,-0.02902875
18.1763,-0.02241248
17.2491,-0.01992728
16.1934,-0.02322383
15.1696,-0.02238995
14.0812,-0.02527425
13.1207,-0.027334
12.192,-0.0273275
10.0774,-0.0322745
8.09009,-0.03267575
6.0376,-0.033077
5.01042,-0.038863
4.0474,-0.0417545
1.86408,-0.0433995
0.804314,-0.04173875
-0.02996,-0.031798
-4.08061,-0.03260125
-6.23607,-0.03093075
-8.19959,-0.029675
-10.261,-0.030076
-14.4512,-0.0271455
-15.4181,-0.02174593
-16.223,-0.0088788
-17.3514,-0.00098498
-18.4149,0.0110597
