aoa,cl,cd
24.3262,1.1475,0.02620665
22.2097,1.37277,0.0
20.2239,1.44677,0.0
18.1435,1.44351,0.0
17.1517,1.42708,0.0
16.1603,1.38764,0.0
14.1452,1.33178,0.0
12.1949,1.24799,0.0
10.1487,1.16914,0.0
8.10235,1.11166,0.01677073
6.95268,1.00322,0.01233471
6.05792,0.955586,0.00942843
5.13142,0.896452,0.00684113
3.88626,0.773248,0.00559122
1.93947,0.546563,0.00511866
-0.198752,0.310057,0.00498541
-2.08103,0.078497,0.00499894
-3.10171,-0.054517,0.0054069
-4.15457,-0.171095,0.00693103
-6.19616,-0.404231,0.00891666
-8.30182,-0.61434,0.01060372
-10.1197,-0.821158,0.0
-12.3535,-0.980296,0.0
-14.1086,-1.10333,0.0
-16.2472,-1.20004,0.0
-17.1749,-1.12115,0.0
-18.1327,-1.15063,0.0
