aoa,cl
22.2195,1.11142
20.371,1.33441
19.4776,1.38078
18.2007,1.43384
17.1784,1.44233
16.2187,1.39141
14.1709,1.31101
12.2166,1.16616
10.005,1.02951
8.20846,0.902609
5.99307,0.732707
4.90071,0.645224
4.0337,0.607298
3.61533,0.554422
3.06909,0.524711
1.91038,0.395785
0.912149,0.283339
-0.086426,0.172506
-0.989112,0.0566572
-4.24477,-0.248054
-4.95515,-0.339206
-6.2779,-0.451948
-8.18309,-0.634427
-10.283,-0.818708
-12.1907,-0.989828
-14.2598,-1.1262
-16.1663,-1.18954
-17.1338,-1.15476
-18.3609,-1.14659
-19.3613,-1.11512
-20.3277,-1.03211
