aoa,cl,cd
16.3136,1.09471,0.00971787
15.3888,1.19194,0.0110001
14.3679,1.27439,0.01214395
13.3784,1.32725,0.0
12.2284,1.28141,0.01224134
11.1735,1.20097,0.01112538
10.2141,1.10074,0.00978259
8.32646,0.934752,0.00802988
6.34086,0.673122,0.0069187
4.16211,0.445942,0.00610765
2.33436,0.233417,0.00593036
1.11549,0.11475,0.00572495
-0.746177,-0.096336,0.00569385
-1.26019,-0.175528,0.00576525
-2.67334,-0.320759,0.00624343
-5.88739,-0.642821,0.00676777
-8.04298,-0.879199,0.00791881
-9.91036,-1.09092,0.0100297
-12.2288,-1.26646,0.01335535
