aoa,cl
22.3742,1.42187
21.3576,1.49909
20.5303,1.52046
19.416,1.53527
18.6199,1.54678
17.3451,1.52873
16.2292,1.50574
15.4641,1.49918
14.4432,1.46302
13.1665,1.40714
12.3687,1.3792
10.3577,1.31343
8.15346,1.18515
6.39579,1.07
5.08588,1.02227
4.22235,0.940009
3.26247,0.824851
2.36653,0.716269
1.05511,0.601074
0.159052,0.492479
-0.833014,0.37565
-1.76106,0.271974
-2.3692,0.19628
-2.9452,0.13867
-3.93748,0.0152468
-4.73778,-0.0884276
-5.79418,-0.221732
-8.13086,-0.463747
-10.0519,-0.695853
-10.9483,-0.789715
-12.0049,-0.890193
-12.8374,-0.962691
-14.0861,-1.00572
-14.9827,-0.984571
-16.1036,-0.966761
-16.8404,-0.937348
-18.0259,-0.903101
