aoa,cd
23.6876,-0.13202275
21.7354,-0.12135125
20.8071,-0.11807725
18.8219,-0.11235725
17.7009,-0.1111525
16.868,-0.113656
15.4582,-0.11493825
14.5609,-0.1141395
13.5993,-0.116648
12.6695,-0.119982
11.387,-0.11878225
10.5532,-0.11756825
9.68712,-0.11842175
8.59634,-0.12010875
7.28075,-0.12014975
6.38201,-0.12431175
5.57946,-0.12723125
3.42844,-0.12151025
1.72638,-0.114946
-0.49013,-0.1034315
-2.28978,-0.0981065
-4.50781,-0.0878265
-6.30877,-0.08456675
-8.59292,-0.08049125
-10.3629,-0.07515825
-12.5198,-0.07190425
-13.2921,-0.05950225
-14.2894,-0.035096
-15.3518,-0.02269738
-16.1885,-0.00283753
-17.1546,0.00956723
-18.024,0.0223897
