aoa,cl,cd
24.3973,1.18984,0.0
22.1552,1.21582,0.0
21.2917,1.29215,0.0
20.3324,1.37984,0.0
19.4032,1.37009,0.0
18.1218,1.36522,0.0
17.1609,1.37009,0.0
16.1677,1.3571,0.0
14.0523,1.28565,0.0
12.2573,1.2142,0.0
10.0454,1.11678,0.0
8.18582,1.01611,0.02602688
6.90397,0.975525,0.01190092
5.7827,0.956044,0.00962442
4.91703,0.905713,0.00739646
3.85815,0.803425,0.00614092
1.90015,0.579367,0.00599012
0.937566,0.486823,0.00576988
-0.121881,0.355311,0.00586084
-1.05263,0.253026,0.00558442
-2.01604,0.119891,0.00586658
-2.97914,0.00137,0.00646314
-4.10151,-0.078178,0.00830778
-6.37788,-0.221032,0.00909667
-8.2739,-0.547375,0.01149868
-10.3269,-0.729196,0.0
