aoa,cd
20.0234,-0.08297675
18.1347,-0.05649525
16.053,-0.030832
15.0596,-0.02965675
14.1623,-0.02192798
13.1365,-0.0207531
11.9821,-0.02204058
11.1484,-0.0171712
10.0577,-0.01681758
7.93995,-0.01610683
6.04612,-0.01210773
4.08727,-0.01097795
1.90281,-0.00699085
-2.11515,0.00264558
-4.20579,0.00623278
-6.03983,0.0090138
-8.16433,0.01096155
-9.99984,0.01292408
-10.9661,0.01574945
-12.1905,0.0140497
-13.0927,0.01564783
-14.0596,0.0201159
-15.0265,0.028689
-16.2194,0.033149
-17.1542,0.049937
-18.0247,0.0642675
-18.8311,0.069981
-19.96,0.0892325
-21.7024,0.10887525
