aoa,cl
16.3918,1.5535
15.2658,1.56173
14.4613,1.58479
13.3988,1.56829
12.3681,1.54519
11.0792,1.48745
10.2411,1.43301
9.14476,1.32906
8.30617,1.23665
6.30597,1.05175
5.14419,0.964206
4.27264,0.860176
2.98119,0.759369
2.30305,0.66193
1.0757,0.541286
0.041947,0.414051
-0.927398,0.308257
-2.05847,0.167755
-2.96344,0.0437846
-4.15971,-0.0736848
-5.90571,-0.320056
-7.91147,-0.528633
-8.9791,-0.67588
-10.1118,-0.806676
-10.9859,-0.902738
-12.2811,-1.0353
-13.1879,-1.13142
-14.2579,-1.14675
-15.2317,-1.09271
-16.3358,-1.03375
