aoa,cl,cd
22.098,1.15754,0.00929327
18.1927,1.13543,0.00911431
16.4627,1.11781,0.0089717
12.3629,1.15442,0.00926801
10.0882,1.19725,0.01341913
8.19389,1.16496,0.00935332
7.03192,1.01504,0.00813989
6.09728,0.9287,0.00770891
4.06601,0.73153,0.00736036
2.87227,0.604384,0.00701522
2.09679,0.496757,0.00675288
0.159965,0.279876,0.0065341
-2.19693,0.022159,0.00730949
-3.23018,-0.08715,0.00808893
-3.90975,-0.194852,0.00877463
-6.04094,-0.40701,0.00968071
-8.10928,-0.642083,0.01139358
-10.1123,-0.836407,0.01359229
-12.0198,-1.04547,0.01786302
-14.2468,-1.16482,0.0
