aoa,cl,cd
22.3815,-0.102391,0.0
20.8377,-0.075191,0.0
19.5536,-0.071977,0.0
18.9082,-0.045963,0.0
17.8808,-0.043147,0.0
17.1101,-0.040323,0.0
15.7942,-0.039957,0.0
14.7995,-0.041615,0.0
13.7393,-0.034732,0.0
12.9052,-0.037199,0.0
11.7497,-0.036014,0.0
10.6593,-0.040522,0.0
9.60007,-0.039742,0.0
7.51395,-0.038992,0.0
5.74909,-0.03986,0.0
3.79173,-0.040734,0.0
1.63959,-0.030631,0.0
-0.542374,-0.031512,0.0
-0.510284,-0.031511,0.0
-4.13816,-0.023893,0.0
-6.16037,-0.021515,0.0
-8.63182,-0.01915,0.0
-10.2369,-0.016759,0.0
