aoa,cd
22.0253,-0.0735085
20.0698,-0.00137442
18.1392,-0.00256928
18.1714,-0.00216228
17.0778,0.00152029
16.177,0.00234803
15.1797,0.00480698
14.0211,0.00156384
11.8976,0.002409
9.74165,0.0016248
7.84327,0.00287423
5.87984,-0.00565448
4.78587,-0.00441655
3.88462,-0.00847833
2.7907,-0.0064255
1.76103,-0.00559593
0.667167,-0.00191319
-2.32517,0.00505655
-4.1593,0.0083426
-5.3182,0.00020939
-6.31585,-0.00059138
-7.21702,-0.00302343
-8.31114,-0.00178542
-10.3066,-0.00786925
-12.1732,-0.00784273
-13.396,-0.00578795
-14.4259,-0.0061808
-15.4557,-0.00657365
-16.3247,-0.00696878
-17.2902,-0.0053251
-18.3844,-0.00653203
-20.4109,0.0542205
-22.3744,0.0538415
