aoa,cd
18.2235,-0.06622275
16.9091,-0.05475675
16.3003,-0.0350635
15.2102,-0.02030345
14.344,-0.01867638
13.0606,-0.0129498
12.0334,-0.0154315
11.1667,-0.01462508
10.2999,-0.01422925
9.07963,-0.01301785
8.11624,-0.00810433
6.22072,-0.01019043
4.09971,-0.00776028
2.23511,-0.00655815
0.144728,-0.00577043
-3.87715,0.00321128
-5.64758,0.00976485
-8.03074,0.0113746
-9.67369,0.01464188
-10.7372,0.01256873
-11.8973,0.0166671
-12.7999,0.0183004
-13.7994,0.01952095
-14.7983,0.04132475
-15.7656,0.05037
-17.6355,0.08493625
