aoa,cl,cd
16.2367,0.778032,0.00858391
15.5153,0.963732,0.00984563
14.3999,1.43377,0.01903597
13.3746,1.42239,0.01854933
12.4422,1.37156,0.01652908
11.477,1.3125,0.01474794
10.3804,1.21237,0.01303245
9.2199,1.11552,0.01142212
8.37961,1.01864,0.01026404
7.41152,0.926684,0.00958556
6.21718,0.81009,0.00883746
5.2469,0.691823,0.0080266
4.34189,0.589981,0.00735785
3.37311,0.493068,0.00571064
2.17853,0.378078,0.00392286
1.11242,0.268003,0.00387851
0.206131,0.152979,0.0039893
-0.828328,0.039597,0.00466986
-1.79775,-0.060645,0.00608316
-3.02625,-0.193766,0.00648131
-3.96302,-0.284162,0.00668789
-4.93465,-0.410733,0.00742213
-7.1968,-0.63595,0.00853319
-8.07058,-0.737885,0.00918462
-9.10544,-0.84805,0.0102411
-10.1394,-0.945069,0.01155442
-11.3334,-1.03552,0.0
-12.2427,-0.746125,0.00926034
-12.976,-0.6787,0.00879479
-14.2539,-0.594819,0.00833609
