aoa,cd
19.7792,-0.103362
18.9165,-0.08954375
18.1807,-0.06431975
17.0627,-0.057017
16.3266,-0.03015875
15.2082,-0.02447883
14.2174,-0.02083133
12.8428,-0.0184114
12.0432,-0.01557348
10.9558,-0.01436943
9.96389,-0.01234843
8.04357,-0.01360265
6.05803,-0.01159683
4.26361,-0.00591653
2.14774,-0.00472535
-0.001479,-0.0031259
-1.83098,0.0074584
-3.82193,0.0119222
-5.81398,0.01271328
-8.09652,0.01717745
-9.93005,0.01919813
-10.9276,0.01959495
-11.8288,0.02326248
-12.8591,0.02406838
-14.083,0.02528125
-14.9527,0.029769
-15.6928,0.06369575
-16.5625,0.07636525
-17.8842,0.07676925
-18.8825,0.110298
