aoa,cl,cd
16.1318,0.950864,0.00890893
15.2692,0.978788,0.0
14.3104,1.00016,0.0
12.8715,1.01502,0.0
12.0397,1.01016,0.0
10.3118,0.995522,0.0
8.9355,0.982499,0.0
7.91069,0.95633,0.0089659
7.01129,0.843226,0.00778703
6.11211,0.743225,0.00680693
3.99267,0.528421,0.00586342
3.06049,0.41196,0.0056507
2.16072,0.313529,0.00545466
1.58264,0.264311,0.00457756
0.875763,0.195395,0.00403861
0.329652,0.147807,0.00387902
0.040079,0.108417,0.00463462
-0.66699,0.039483,0.00501867
-1.05311,-0.011404,0.00493444
-2.04995,-0.118115,0.00504772
-3.33595,-0.239624,0.00539478
-4.17242,-0.331593,0.00601056
-5.04197,-0.4515,0.00691855
-6.10405,-0.569789,0.00813104
