aoa,cd
15.7718,-0.095876
14.8057,-0.0934395
13.872,-0.09711375
12.7769,-0.09304825
11.6174,-0.09305775
10.4899,-0.08939925
9.68455,-0.08818325
8.36353,-0.08411825
7.49372,-0.08820025
5.85026,-0.08658275
3.72291,-0.07885475
1.82082,-0.0715315
-0.242756,-0.06543075
-2.04867,-0.06095825
-4.33876,-0.0544495
-6.17771,-0.0458975
-8.24266,-0.043055
-10.2437,-0.030831
-11.438,-0.0267585
-12.1484,-0.01493358
-13.2784,-0.00555693
-14.1178,-0.00148119
-15.022,0.00748978
-16.1845,0.01319703
-17.1856,0.0156416
-18.1548,0.02951
