aoa,cl,cd
17.9822,-0.119617,0.0
16.7938,-0.118898,0.0
15.7979,-0.116106,0.0
14.7694,-0.114961,0.0
14.0301,-0.110091,0.0
12.6793,-0.112261,0.0
11.6819,-0.11399,0.0
10.652,-0.116546,0.0
9.49293,-0.118291,0.0
8.49453,-0.120433,0.0
7.49583,-0.121754,0.0
5.5942,-0.124799,0.0
3.36881,-0.127051,0.0
1.46466,-0.123098,0.0
-0.569929,-0.117093,0.0
-2.54113,-0.120146,0.0
-4.57836,-0.117022,0.0
-6.45509,-0.115533,0.0
-9.49964,-0.096395,0.0
-10.3422,-0.094813,0.0
-11.3795,-0.092834,0.0
-12.5795,-0.086325,0.0
-13.4566,-0.056658,0.0
-14.4959,-0.0336,0.0
-15.3737,-0.005976,0.0
-16.2837,0.011324,0.0
