aoa,cl,cd
22.4143,1.2016,0.01430399
20.3936,1.29163,0.01789144
18.2414,1.30638,0.01848186
16.219,1.34076,0.01985803
14.328,1.43401,0.02434905
13.1723,1.44383,0.02482768
12.2096,1.4602,0.0
10.1817,1.3539,0.02044446
8.28042,1.20019,0.01425088
6.15536,1.06285,0.00913539
5.18663,0.938587,0.00758702
4.1235,0.853577,0.00717756
2.12324,0.629605,0.00654478
0.090163,0.386032,0.00627711
-1.9101,0.153927,0.00618228
-2.87863,0.026434,0.0063015
-4.00602,-0.069973,0.00762322
-6.10298,-0.320014,0.0085145
-8.19918,-0.558585,0.00982239
-10.0372,-0.767723,0.01226302
-12.002,-0.949032,0.01579782
