aoa,cl
14.1916,0.867449
13.3032,0.988937
12.2752,1.37126
11.2097,1.28282
10.0806,1.20258
9.17489,1.11081
8.07589,1.01085
7.10573,0.919063
6.00556,0.80922
5.19412,0.69933
4.02925,0.587812
3.02472,0.476261
2.02109,0.377826
1.50302,0.326961
1.11393,0.282652
-2.09489,-0.0571396
-3.13274,-0.170446
-4.00854,-0.265704
-5.24046,-0.3889
-6.1806,-0.480903
-7.15527,-0.599218
-8.12927,-0.707689
-9.31882,-0.701096
-10.3137,-0.673133
-11.1801,-0.646813
-12.3036,-0.615553
-13.3666,-0.628686
-14.3944,-0.604001
