aoa,cl,cd
15.2897,0.77472,0.01019882
14.5501,0.753465,0.01001239
14.0031,0.81727,0.01057202
13.1982,1.31759,0.02286573
12.137,1.25066,0.01977443
10.0458,1.09545,0.01459931
8.01737,0.945029,0.0117069
5.98721,0.747025,0.0099559
4.92311,0.638955,0.00905462
4.05203,0.539031,0.00806921
3.05173,0.448898,0.00601899
2.4386,0.409553,0.00420463
1.95425,0.357089,0.00393357
0.823841,0.247204,0.00399125
-0.081192,0.132358,0.00393698
-1.05122,0.014178,0.00398844
-1.8593,-0.04167,0.0052214
-3.28286,-0.191162,0.00717165
-3.99542,-0.293042,0.00750959
-5.16103,-0.408148,0.00821996
-6.26249,-0.521657,0.00932752
-8.40155,-0.719217,0.01114221
-10.3804,-0.91198,0.0
-11.3196,-0.915414,0.0
-12.4122,-0.578272,0.00984756
