aoa,cl,cd
20.421,0.968189,0.00929997
18.4321,1.11169,0.01051637
17.3195,1.40029,0.01394658
20.3565,0.966524,0.00928586
18.4643,1.11002,0.01050222
17.384,1.40362,0.014028
16.2882,1.38868,0.01367116
15.235,1.58561,0.0
14.363,1.5423,0.01741856
13.3933,1.47897,0.01587022
11.1612,1.30226,0.01261436
10.2842,1.15882,0.01091588
6.30107,0.77857,0.00769264
5.00531,0.650128,0.00688709
3.15733,0.438255,0.0060677
2.21726,0.334813,0.00581038
0.986665,0.228028,0.00582257
-2.90495,-0.217535,0.00614302
-4.97962,-0.427844,0.00657705
-6.11426,-0.541356,0.00720188
-10.0393,-0.975422,0.00933933
-11.0773,-1.08563,0.01083136
-12.0176,-1.17581,0.0
-13.1512,-1.25266,0.0
-13.9237,-1.18931,0.0
-14.9271,-1.23613,0.0
-16.1228,-1.24457,0.0
-18.2419,-0.910893,0.00884662
