aoa,cl,cd
20.2605,0.998804,0.01608725
18.1552,1.12762,0.0
17.07,1.1717,0.0
16.1441,1.19786,0.0
15.0253,1.17848,0.0
14.0349,1.1835,0.0
13.1075,1.1527,0.0
12.0841,1.11704,0.0
10.0683,1.00989,0.01632119
8.14659,0.83275,0.01259366
6.06477,0.647476,0.00995938
4.01417,0.434519,0.00613195
1.96304,0.203647,0.00606198
-0.023759,-0.004459,0.00592753
-2.13903,-0.233723,0.00607295
-3.96639,-0.451634,0.00636417
-6.20935,-0.659753,0.00987129
-8.16487,-0.879304,0.0131915
-10.2148,-1.02236,0.01579319
-12.0086,-1.14592,0.0
