aoa,cl,cd
23.1272,-0.108213,0.0
22.0713,-0.076065,0.0
21.2078,-0.0468,0.0
20.4056,-0.03939,0.0
19.3464,-0.03322,0.0
17.1631,-0.028304,0.0
16.2322,-0.025432,0.0
15.2695,-0.020912,0.0
13.2152,-0.016408,0.0
12.2518,-0.018896,0.0
11.2248,-0.016851,0.0
10.0373,-0.016045,0.0
8.14412,-0.013601,0.0
5.89815,-0.011987,0.0
4.1979,-0.010777,0.0
2.20965,-0.005451,0.0
-2.02265,0.003546,0.0
-2.02261,0.003958,0.0
-3.88151,0.010931,0.0
-5.96508,0.012545,0.0
-7.88788,0.015808,0.0
-10.0352,0.013713,0.0
-11.092,0.020285,0.0
-11.989,0.021506,0.0
-12.8217,0.025198,0.0
-13.9428,0.026827,0.0
-14.8717,0.027222,0.0
-15.8644,0.0305,0.0
-16.6967,0.034603,0.0
-17.8177,0.033348,0.0
-18.7783,0.03539,0.0
-19.8024,0.04196,0.0
-20.7944,0.048942,0.0
