aoa,cl
20.4162,0.907692
19.5291,1.01764
18.4253,1.24403
17.3725,1.25896
16.4434,1.21485
15.3552,1.1855
14.2961,1.12004
13.3002,1.04962
12.1137,1.00874
10.3759,0.869366
8.18656,0.711829
6.18592,0.531098
4.99228,0.440671
3.57352,0.355132
3.05476,0.28765
2.01823,0.172389
0.982477,0.0751854
-0.024357,-0.0583204
-0.867507,-0.147379
-2.03521,-0.26619
-3.1402,-0.398261
-3.69128,-0.442876
-4.14403,-0.464386
-5.01939,-0.530523
-6.18809,-0.631407
-7.2904,-0.700953
-8.26589,-0.791988
-10.2806,-0.946101
-12.2951,-1.07555
