aoa,cl,cd
19.8982,1.01305,0.00940016
17.8452,1.04075,0.00957825
16.8674,1.47207,0.0
15.9972,1.59339,0.0
13.7904,1.46187,0.01651215
11.6814,1.31237,0.01317979
9.67095,1.12196,0.01013373
7.62958,0.928362,0.00885571
5.68531,0.731581,0.00786804
3.55076,0.516862,0.0073866
1.5446,0.315353,0.00710377
-0.427678,0.092663,0.00710008
-2.65527,-0.116835,0.00722711
-4.49849,-0.324591,0.00819049
-6.56449,-0.530616,0.00870116
-8.43738,-0.747986,0.00951346
-10.5025,-0.934207,0.01074901
-12.5026,-1.12361,0.0123728
-14.5662,-1.30313,0.01528421
-16.4406,-1.42709,0.0
-18.7146,-1.23271,0.01409202
