cl,cd
0.980859,0.0229729
0.886968,0.0187308
0.670531,0.0140788
0.459399,0.0113232
0.232495,0.00965927
0.017495,0.00911258
-0.198936,0.00985696
-0.422698,0.0109624
-0.620698,0.0135888
-0.822558,0.0179369
-0.901594,0.0219779
