cl,cm
1.4785,-0.02734875
1.40148,-0.02819275
1.32126,-0.02781875
1.21855,-0.0278605
1.00504,-0.0291665
0.786661,-0.02803525
0.574618,-0.028121
0.339985,-0.0294365
0.121416,-0.02342253
-0.118254,-0.02799475
-0.341886,-0.02849225
-0.586529,-0.02899825
-0.794242,-0.030304
-1.01013,-0.03527825
-1.10676,-0.03246725
-1.19059,-0.036167
