cl,cm
1.05317,-0.0690555
1.04347,-0.0797715
1.00183,-0.083069
0.824126,-0.086368
0.599901,-0.083483
0.383486,-0.0851345
0.192589,-0.086787
0.008019,-0.0851375
-0.207124,-0.07481375
