aoa,cl
20.5262,1.15097
19.346,1.34593
18.3885,1.44586
17.4298,1.43761
16.4397,1.49821
15.3846,1.45389
14.3614,1.40465
12.2822,1.27499
10.3943,1.12399
8.28195,0.96474
6.2646,0.736572
5.33601,0.654464
4.2152,0.559204
3.15828,0.46558
2.13335,0.385073
1.07592,0.253694
0.01857,0.150192
-0.910874,0.0368522
-1.42368,-0.0222902
-1.93643,-0.0683089
-2.93006,-0.171836
-4.01989,-0.275389
-5.97565,-0.482493
-8.02798,-0.691299
-9.92045,-0.896836
-12.1659,-1.07787
-13.1601,-1.10434
-14.1224,-1.1341
-16.3037,-1.13129
-18.2259,-0.5996
