aoa,cl
19.3612,0.627602
18.2132,0.645716
17.703,0.660512
17.1674,1.297
16.2114,1.3791
15.3497,1.33983
14.169,1.31699
12.189,1.18759
10.0162,1.01221
8.06574,0.820326
5.95468,0.618527
4.96295,0.533193
4.06634,0.410064
2.88228,0.313202
1.76179,0.209745
0.864716,0.0964013
-1.08963,-0.11556
-1.12168,-0.118847
-1.15363,-0.117203
-1.635,-0.207602
-2.17964,-0.253628
-3.17291,-0.335828
-4.19885,-0.444353
-5.00087,-0.547964
-8.27225,-0.852358
-10.2617,-1.03509
-12.3155,-1.19156
-13.246,-1.24594
-14.273,-1.30692
-15.2666,-1.30205
-16.1958,-1.27906
-17.3173,-1.24784
