aoa,cd
19.2147,-0.07877625
18.1301,-0.0738975
17.1087,-0.07024025
16.0235,-0.06454225
15.1294,-0.06047225
14.2354,-0.0547685
13.1484,-0.0519225
11.996,-0.05356775
11.1952,-0.05561825
10.1708,-0.0548125
9.14588,-0.05441525
8.05664,-0.05360975
5.94144,-0.05077125
4.01767,-0.04629325
2.1246,-0.04263025
-0.058313,-0.0365125
-1.72905,-0.033661
-4.04387,-0.029584
-5.84469,-0.02222425
-7.93778,-0.0214166
-9.74057,-0.01200048
-10.9008,-0.0095456
-11.1913,-0.01118638
-12.0295,-0.00913965
-12.997,-0.00709275
-13.8681,-0.00545508
-14.9657,-0.00545828
-15.9965,0.00971885
-16.8022,0.02120835
-17.8033,0.025314
