cl,cd
1.35041,0.0126865
1.25524,0.0110631
1.05195,0.00860142
0.83736,0.0075003
0.619401,0.00639845
0.499956,0.0063318
0.38523,0.00572297
0.338262,0.0049502
0.273602,0.00463731
0.160493,0.00445541
0.107195,0.00453709
0.057282,0.00535857
-0.055687,0.00598224
-0.277004,0.0064243
-0.522397,0.00778695
-0.745097,0.00944582
