aoa,cl,cd
16.3816,0.744745,0.00954818
15.3854,0.77069,0.00968741
14.5867,1.38847,0.0
13.3323,1.39812,0.0
12.5272,1.30807,0.01929592
11.4003,1.22287,0.01688193
10.4984,1.14259,0.01483244
8.43654,0.967222,0.01224564
6.40608,0.798334,0.0098907
4.47121,0.568854,0.00853911
3.24561,0.457297,0.00574863
2.40672,0.347447,0.00467974
1.18057,0.216203,0.00475461
0.212437,0.132467,0.00456532
-1.17572,-0.039797,0.00477957
-2.62879,-0.220308,0.00728382
-3.85597,-0.318933,0.00761795
-5.72975,-0.534056,0.00895212
-7.95969,-0.783776,0.01117057
-9.80248,-0.97284,0.0
