aoa,cl,cd
20.4106,0.641427,0.00953899
18.4554,0.684099,0.00975513
17.3375,1.22757,0.02082559
16.3443,1.35405,0.0
15.382,1.34917,0.0
14.5799,1.34101,0.0
13.1996,1.27538,0.0
12.429,1.22614,0.02076093
10.4054,1.07837,0.01447397
9.18428,0.966679,0.01317427
8.34855,0.88125,0.0121757
6.32294,0.66762,0.00964059
5.26156,0.549269,0.00916037
4.36088,0.455557,0.0078259
3.74956,0.38321,0.00605187
3.23487,0.342094,0.00510324
2.2371,0.212172,0.00505228
1.14281,0.098665,0.00503549
-0.821251,-0.131691,0.00495335
-1.88399,-0.246906,0.00502062
-2.91479,-0.367076,0.00603344
-4.04211,-0.459311,0.00868231
-5.87929,-0.698086,0.00993173
-8.19979,-0.881055,0.0
-10.0382,-1.10518,0.0
