aoa,cd
20.0868,-0.091944
19.066,-0.075706
18.108,-0.068005
17.1815,-0.06192875
16.2547,-0.05707175
15.2957,-0.05262125
14.2081,-0.052651
13.2483,-0.05104875
12.2881,-0.0506675
11.456,-0.0478395
10.1752,-0.048281
9.11817,-0.04871675
8.15723,-0.04589075
6.07402,-0.04513075
4.24632,-0.04436375
2.09709,-0.04034325
0.33221,-0.031825
-3.90766,-0.0274415
-5.7398,-0.0229963
-7.92673,-0.01978195
-9.72864,-0.0173737
-10.9519,-0.01699325
-11.9822,-0.01456605
-12.8518,-0.01376863
-13.8824,-0.0052121
-14.8808,0.01846713
-15.8473,0.0380675
-16.8464,0.0564475
