aoa,cl,cd
24.2761,1.26313,0.0
22.2319,1.31086,0.0
20.1553,1.33561,0.0
18.1743,1.33572,0.0
16.0652,1.32763,0.0
14.2111,1.26862,0.0
12.0693,1.22769,0.0
9.9276,1.20646,0.02045077
8.04112,1.15565,0.01244503
6.05786,1.03586,0.00741157
5.22563,0.938991,0.00730807
4.0414,0.817497,0.00683354
3.01707,0.705844,0.00682621
2.02458,0.587611,0.00672318
1.19211,0.487436,0.00662968
-0.152402,0.356061,0.00650846
-1.04932,0.221374,0.00633618
-1.97791,0.11954,0.0062402
-2.84303,-0.021736,0.00629567
-4.12397,-0.159721,0.0070716
-6.23777,-0.391364,0.00928402
-8.1916,-0.598388,0.01206666
-10.1136,-0.798861,0.01482656
-10.9143,-0.867879,0.01546208
-11.939,-0.935253,0.0
-14.2436,-0.992751,0.0
