aoa,cd
18.9414,-0.079165
17.8283,-0.0597865
16.0803,-0.02431743
14.8963,-0.0234849
13.9054,-0.01894138
13.0411,-0.0185229
12.1135,-0.01521625
9.90341,-0.0152003
8.14168,-0.01353693
5.89858,-0.01186948
4.23291,-0.00690338
2.05392,-0.00069291
0.000804,0.00015025
-2.14805,0.00512485
-4.00906,0.0088593
-6.32,0.01383875
-8.2152,0.0150967
-10.368,0.01677085
-11.1717,0.01677875
-12.2632,0.02257708
-13.4523,0.02507
-14.5137,0.025081
-15.6065,0.02881425
-16.3719,0.0528095
-17.6234,0.065648
-18.4908,0.07186525
-19.7716,0.09712175
