aoa,cl,cd
15.2748,1.28337,0.01685691
14.2446,1.27201,0.01587136
13.3751,1.28345,0.01686385
12.119,1.30632,0.01884796
11.0559,1.34384,0.0
10.2506,1.3504,0.0
9.05912,1.30808,0.01900065
8.22218,1.22826,0.01208061
7.25627,1.15006,0.00948618
6.16159,1.04579,0.00827013
4.06861,0.829044,0.0074794
2.94131,0.727993,0.0072388
2.03972,0.602472,0.00685271
1.17045,0.455743,0.00675172
-0.086105,0.348133,0.00673416
-1.08462,0.209528,0.00673081
-1.85761,0.085588,0.00672821
-5.17683,-0.301002,0.00769163
-6.07929,-0.413577,0.00859244
-8.23939,-0.638774,0.01136215
-10.1742,-0.842798,0.01670707
