aoa,cl,cd
18.3016,1.57305,0.0
17.2481,1.61715,0.0
16.1622,1.64984,0.0
15.1397,1.65152,0.0
14.1809,1.65158,0.0
13.3172,1.6092,0.0
12.1656,1.56356,0.0
11.0136,1.5065,0.0
10.1805,1.4135,0.0
7.93878,1.25033,0.01188968
6.07896,1.01525,0.00998906
5.05302,0.909121,0.00851908
4.09093,0.80297,0.00690959
3.09644,0.683735,0.00588834
2.1342,0.585716,0.00564608
1.07552,0.476245,0.00547871
-0.015732,0.347147,0.0053265
-1.04284,0.232735,0.00538988
-2.03833,0.105231,0.00542049
-3.19417,-0.020669,0.00630339
-6.08525,-0.362497,0.00771851
-8.26999,-0.593222,0.00883825
-10.0383,-0.810901,0.01034351
-12.2885,-1.03852,0.01325315
-13.1568,-1.13024,0.0
-14.1512,-1.10909,0.0
-15.2421,-1.09287,0.0
-16.3979,-1.10119,0.0
-18.0941,-0.847752,0.010676
