aoa,cl,cd
19.45,0.845586,0.01888581
18.6854,0.96938,0.0
17.56,1.0053,0.0
16.4653,1.0233,0.0
15.4982,1.02501,0.0
14.4345,1.02999,0.0
13.4019,1.02194,0.0
12.2722,1.01226,0.0
11.3036,1.00256,0.0
10.2697,0.984728,0.0
9.16978,0.947339,0.0
8.4253,0.918064,0.02207325
6.15535,0.776433,0.01596052
4.269,0.587457,0.01329997
3.26078,0.489691,0.01271256
2.38079,0.378865,0.01208362
1.04831,0.269664,0.01143584
0.134814,0.145762,0.01115808
-0.745801,0.031628,0.01115623
-1.91711,-0.076002,0.01144339
-2.86234,-0.185276,0.01191857
-3.90451,-0.291306,0.01265363
-6.05385,-0.500158,0.01502901
-8.03964,-0.673177,0.0
