aoa,cl
17.3826,1.40569
16.2517,1.43337
15.1526,1.43003
14.2801,1.47733
13.4072,1.474
12.437,1.43964
11.1111,1.41667
10.2054,1.36271
8.20003,1.18946
6.098,0.981945
5.128,0.890457
4.19048,0.782663
3.0914,0.6765
2.15421,0.555687
0.990815,0.43976
0.053908,0.323877
-0.979768,0.198219
-2.175,0.0807096
-2.98202,-0.0448775
-4.27382,-0.168881
-6.17816,-0.40696
-8.01735,-0.636812
-10.0824,-0.855241
-10.9855,-0.95953
-12.0505,-1.04594
-14.3745,-1.19764
-15.0224,-1.13758
-16.0243,-1.14915
-17.1228,-1.18026
-18.4806,-1.18865
-19.1995,-0.913795
