aoa,cl,cd
22.5245,1.02343,0.01476709
20.4171,1.14133,0.0
18.5637,1.20678,0.0
16.3882,1.21315,0.0
14.4049,1.22611,0.0
12.2595,1.18492,0.0
10.3049,1.11259,0.0179223
8.1235,0.969719,0.01288711
7.22456,0.892557,0.01092083
6.22877,0.794063,0.00681539
5.04129,0.703752,0.00595076
4.14095,0.59214,0.00556534
3.1124,0.475595,0.0053056
2.11608,0.365612,0.00516781
0.990839,0.23265,0.00503352
-0.068611,0.145621,0.00485836
-0.486958,0.086532,0.00489324
-0.873179,0.030726,0.0057709
-1.41895,-0.013611,0.00673865
-4.05352,-0.276308,0.00855376
-5.82296,-0.509413,0.01014739
-8.13495,-0.7032,0.01149365
-9.93429,-0.880543,0.01415793
-12.0861,-1.06777,0.01778547
