aoa,cd
23.9114,-0.16380125
23.2076,-0.1295615
21.4795,-0.10401925
20.5832,-0.10033
19.3344,-0.1016055
18.5979,-0.10204025
17.3807,-0.10125025
16.2274,-0.1050015
15.2019,-0.109163
14.1443,-0.110021
13.0864,-0.1133585
12.1888,-0.1109065
11.0022,-0.1142485
10.1042,-0.11386275
9.27017,-0.115128
8.1793,-0.11722825
7.24872,-0.117257
6.95989,-0.117266
5.0018,-0.12022075
3.07529,-0.11779925
1.18035,-0.11248125
1.08398,-0.1120705
-0.875803,-0.104684
-2.57915,-0.09977
-4.894,-0.09528575
-6.63058,-0.0878865
-8.75397,-0.083807
-10.7171,-0.07806575
